Model,Embedding,Classifier,Accuracy,Precision,Recall,F1
DS_tags_modelsize100epoch10,Tags only,Random Forest,0.9067357512953368,0.9032258064516128,0.9790209790209792,0.9395973154362416
DS_tags_modelsize100epoch10,Tags only,Ensemble,0.917098445595855,0.89937106918239,1.0,0.9470198675496688
DS_content_tags_modelsize100epoch10,Content and tags,Nearest Neighbors,0.922279792746114,0.9324324324324323,0.965034965034965,0.9484536082474226
DS_content_tags_modelsize100epoch10,Content and tags,SVM RBF,0.9430051813471504,0.9647887323943662,0.958041958041958,0.9614035087719298
DS_content_tags_modelsize100epoch10,Content and tags,Decision Tree,0.8704663212435233,0.8933333333333333,0.9370629370629372,0.9146757679180888
DS_content_tags_modelsize100epoch10,Content and tags,Gaussian Naive Bayes,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_content_tags_modelsize100epoch10,Content and tags,Random Forest,0.8704663212435233,0.8933333333333333,0.9370629370629372,0.9146757679180888
DS_content_tags_modelsize100epoch10,Content and tags,Ensemble,0.932642487046632,0.9452054794520548,0.965034965034965,0.9550173010380624
DS_tags_modelsize100epoch10,Tags only,Nearest Neighbors,0.8393782383419689,0.85,0.951048951048951,0.8976897689768978
DS_tags_modelsize100epoch10,Tags only,SVM RBF,0.8341968911917098,0.8323353293413174,0.972027972027972,0.896774193548387
DS_tags_modelsize100epoch10,Tags only,Decision Tree,0.772020725388601,0.8278145695364238,0.8741258741258742,0.8503401360544218
DS_tags_modelsize100epoch10,Tags only,Gaussian Naive Bayes,0.6113989637305699,0.8148148148148148,0.6153846153846154,0.701195219123506
DS_tags_modelsize100epoch10,Tags only,Random Forest,0.8652849740932642,0.8679245283018868,0.965034965034965,0.913907284768212
DS_tags_modelsize100epoch10,Tags only,Ensemble,0.844559585492228,0.8424242424242424,0.972027972027972,0.9025974025974024
DS_tags_modelsize100epoch10,Tags only,Neural Net,0.8756476683937824,0.8838709677419355,0.958041958041958,0.9194630872483224
DS_content_modelsize100epoch10,Content only,Nearest Neighbors,0.7772020725388601,0.808641975308642,0.916083916083916,0.8590163934426229
DS_content_modelsize100epoch10,Content only,SVM RBF,0.8186528497409327,0.8253012048192772,0.958041958041958,0.8867313915857606
