App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
dimeshift,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.910146173688736,0.952247191011236,0.9500233535730966,0.4426666666666666,0.9511339724105682
dimeshift,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.8916595012897678,0.9881136950904392,0.8930406352171882,0.5625,0.9381746810598626
dimeshift,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.910146173688736,0.951824134705332,0.9504904250350305,0.4396782841823056,0.9511568123393316
dimeshift,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.9161650902837488,0.9521375464684017,0.9570294255021018,0.456824512534819,0.954577218728162
dimeshift,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.9294926913155632,0.9341238471673254,0.9934609995329284,0.2991452991452992,0.9628791308284292
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.8619948409286329,0.9212962962962964,0.929472209248015,0.0854700854700854,0.9253661939083936
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5048315670168141,1.0,0.5048315670168141,0.6709476038140199,0.6709476038140199
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.9419604471195184,0.946969696969697,0.9925268566090611,0.4943820224719101,0.9692132269099202
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9024075666380053,0.9451162790697676,0.9490892106492294,0.371191135734072,0.9470985784199488
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9028374892519346,0.9451417945141796,0.949556282111163,0.3722222222222222,0.9473438956197576
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.942390369733448,0.9454061251664448,0.9948622139187296,0.4806201550387596,0.9695038689121528
dimeshift,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.9204643164230438,0.9204643164230438,1.0,0.0,0.9585851802104322
mantisbt,DS_content_modelsize100epoch31,Content only,Dummy,0.8141280353200883,0.904572564612326,0.8882381649585164,0.1023454157782515,0.8963309529672495
mantisbt,DS_content_modelsize100epoch31,Content only,Threshold,0.5005938103998323,1.0,0.5005938103998323,0.6671942892613283,0.6671942892613283
mantisbt,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9293598233995584,0.9609565641776476,0.9609565641776476,0.6296296296296297,0.9609565641776476
mantisbt,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9403973509933776,0.9818731117824774,0.9516837481698388,0.7272727272727272,0.966542750929368
mantisbt,DS_content_modelsize100epoch31,Content only,Decision Tree,0.919205298013245,0.9537937743190662,0.9570522205954124,0.5694117647058825,0.9554202192448236
